k,domain,eval_seed,tightening,n_gen1,revoke_rate,regeneration_success_rate,random_redraw_success_rate,SR_discard,GC_discard,SR_regenerate,n_revoked,n_regen_ok,n_redraw_ok,Rel_baseline,Rel_discard,Rel_regenerate
43,RLV,43042,0.05,195,0.3128205128205128,0.8852459016393442,0.03278688524590164,0.6871794871794872,0.6871794871794872,0.9641025641025641,61,54,2,0.8914203170639075,0.7389543698634579,0.8833103875602579
43,Healthcare,43043,0.05,190,0.28421052631578947,0.8518518518518519,0.018518518518518517,0.7157894736842105,0.7157894736842105,0.9578947368421052,54,46,1,0.9007793653688688,0.7620984576884459,0.8911439761815506
44,RLV,44042,0.05,196,0.32653061224489793,0.890625,0.078125,0.673469387755102,0.6734693877551021,0.9642857142857143,64,57,5,0.8919161013854742,0.7319525599806886,0.883843632227545
44,Healthcare,44043,0.05,195,0.3128205128205128,0.9344262295081968,0.06557377049180328,0.6871794871794872,0.6871794871794872,0.9794871794871794,61,57,4,0.9076273266806957,0.7523893795322876,0.9029365891718512
45,RLV,45042,0.05,200,0.21,0.9285714285714286,0.023809523809523808,0.79,0.79,0.985,42,39,1,0.9101970137458557,0.8090008016233236,0.9067644057285263
45,Healthcare,45043,0.05,195,0.28717948717948716,0.9107142857142857,0.03571428571428571,0.7128205128205128,0.7128205128205128,0.9743589743589743,56,51,2,0.8969321190666759,0.757268114439671,0.8911264281587942
46,RLV,46042,0.05,196,0.3469387755102041,0.8676470588235294,0.04411764705882353,0.6530612244897959,0.653061224489796,0.9540816326530612,68,59,3,0.88561590083192,0.7156857245770099,0.8752694882476088
46,Healthcare,46043,0.05,198,0.3686868686868687,0.8493150684931506,0.0410958904109589,0.6313131313131313,0.6313131313131313,0.9444444444444444,73,62,3,0.9074688749902053,0.7210313526732882,0.8945937141694348
47,RLV,47042,0.05,195,0.30256410256410254,0.9830508474576272,0.0847457627118644,0.6974358974358974,0.6974358974358974,0.9948717948717949,59,58,5,0.8930963556520288,0.7458482339097775,0.8919491517999427
47,Healthcare,47043,0.05,196,0.32653061224489793,0.859375,0.078125,0.673469387755102,0.6734693877551021,0.9540816326530612,64,55,5,0.9107645251126382,0.7474205529648582,0.9001243079088619
48,RLV,48042,0.05,199,0.22613065326633167,0.8666666666666667,0.08888888888888889,0.7738693467336684,0.7738693467336684,0.9698492462311558,45,39,4,0.904307983974756,0.7955183234992711,0.8974131381319739
48,Healthcare,48043,0.05,196,0.29591836734693877,0.9310344827586207,0.10344827586206896,0.7040816326530612,0.7040816326530612,0.9795918367346939,58,54,6,0.9054388150581727,0.7597498373132933,0.9007834484164546
49,RLV,49042,0.05,196,0.40816326530612246,0.9,0.0375,0.5918367346938775,0.5918367346938775,0.9591836734693877,80,72,3,0.8877932761420615,0.6829875866701248,0.8785921041553059
49,Healthcare,49043,0.05,194,0.27319587628865977,0.8679245283018868,0.09433962264150944,0.7268041237113402,0.7268041237113403,0.9639175257731959,53,46,5,0.9024077267947535,0.7693279248612024,0.8941549279559691
