k,domain,eval_seed,A_triad,CKA_genesis_repair,CKA_genesis_context,CKA_repair_context,TS_mean,SR_mean,SR_zero_events,Rel_mean,Rel_event_sd,baseline_balanced_accuracy,baseline_f1
45,RLV,45042,0.7480069625181827,0.8847811827894705,0.6790276665167151,0.6802120382483625,0.9175631948029807,0.9090833333333334,0,0.8851568930233304,0.05144730615070182,0.5384810126582278,0.6929133858267716
45,Healthcare,45043,0.7072093762857321,0.8733014927358183,0.6120625369297004,0.6362640991916776,0.9151458094909424,0.8223333333333334,5,0.8329195698981263,0.1441184434713283,0.6030092592592593,0.6836158192090396
46,RLV,46042,0.6732816944057877,0.8457189132295533,0.576805319204359,0.5973208507834504,0.9136604277151942,0.8221666666666667,4,0.8241110414712174,0.13264873240325029,0.6108630952380952,0.6972972972972973
46,Healthcare,46043,0.7388496457762755,0.894958384646613,0.6520469030930099,0.6695436495892036,0.9178482483884914,0.8203333333333334,2,0.8479196243048679,0.11550309832139656,0.6450892857142857,0.7219251336898396
47,RLV,47042,0.6935271212236245,0.8705408452766826,0.5914362470445087,0.6186042713496823,0.9173389193586969,0.83825,5,0.8324285077004353,0.14621290750479002,0.5839626599538494,0.6951871657754011
47,Healthcare,47043,0.7505076611164031,0.899064256750156,0.6621358252546214,0.6903229013444316,0.9167887914135688,0.831,4,0.849307668353553,0.13877120998709416,0.6158466819221968,0.7461928934010152
48,RLV,48042,0.7291887543993013,0.8933113403943486,0.6473682327880712,0.6468866900154842,0.9171185935200395,0.8863333333333333,1,0.8696172602606318,0.08328088721304508,0.5818858560794045,0.7346938775510204
48,Healthcare,48043,0.7336944597999994,0.8985736733334587,0.6425467541474017,0.6599629519191379,0.9160542485180793,0.8651666666666668,4,0.8561839859736117,0.1315734983656407,0.5846312414109024,0.7208121827411168
49,RLV,49042,0.680126535370689,0.8498221346031717,0.5825139017276373,0.6080435697812583,0.9133930161810417,0.8161666666666667,4,0.824711176886168,0.1327037916301276,0.5503642832937987,0.6875
49,Healthcare,49043,0.7226441643949499,0.891491672825269,0.6278338179245111,0.6486070024350694,0.9176703949609671,0.8426666666666666,6,0.839962392551584,0.15704672463821098,0.48000000000000004,0.672
